Node ID,Discipline
4369,Computer Science
4372,Biology
4378,Computer Science
4386,Biology
4390,Computer Science
4392,Computer Science
4393,Computer Science
4401,Computer Science
4402,Biology
4403,Computer Science
4409,Computer Science
4410,Biology
4415,Computer Science
4432,Computer Science
4436,Computer Science
4437,Computer Science
4439,Computer Science
4442,Computer Science
4451,Computer Science
4452,Biology
4454,Computer Science
4460,Biology
4464,Computer Science
4465,Computer Science
4467,Biology
4468,Computer Science
4476,Computer Science
4478,Computer Science
4480,Computer Science
4482,Biology
4483,Computer Science
4485,Biology
4494,Computer Science
4497,Computer Science
4498,Computer Science
4500,Computer Science
4509,Computer Science
4510,Computer Science
4511,Biology
4519,Computer Science
4527,Biology
4532,Biology
4536,Computer Science
4537,Biology
4538,Computer Science
4539,Computer Science
4540,Computer Science
4541,Computer Science
4542,Computer Science
4544,Computer Science
4548,Biology
4550,Biology
4552,Biology
4553,Biology
4557,Biology
4564,Biology
4567,Biology
4568,Computer Science
4571,Computer Science
4575,Biology
4577,Biology
4578,Biology
4583,Biology
4587,Computer Science
4588,Computer Science
4589,Biology
4591,Biology
4597,Biology
4602,Computer Science
4604,Biology
4606,Biology
4609,Computer Science
4617,Computer Science
4618,Biology
4624,Biology
4633,Biology
4635,Biology
4639,Computer Science
4641,Biology
4642,Biology
4643,Computer Science
4645,Computer Science
4646,Biology
4647,Biology
4661,Computer Science
4667,Computer Science
4669,Computer Science
4674,Biology
4678,Biology
4681,Biology
4683,Biology
4687,Biology
4693,Biology
4694,Computer Science
4704,Computer Science
4706,Computer Science
4707,Computer Science
4708,Computer Science
4709,Computer Science
4710,Biology
4711,Biology
4712,Computer Science
4717,Biology
4722,Computer Science
4727,Computer Science
4731,Biology
4733,Computer Science
4741,Biology
4749,Biology
4754,Biology
4755,Biology
4758,Biology
4760,Biology
4761,Computer Science
4762,Computer Science
4771,Computer Science
4772,Biology
4776,Biology
4780,Computer Science
4783,Biology
4786,Computer Science
4788,Biology
4795,Computer Science
4801,Computer Science
4802,Computer Science
4805,Computer Science
4806,Biology
4809,Computer Science
4814,Biology
4830,Biology
4833,Biology
4834,Biology
4845,Biology
4849,Computer Science
4851,Biology
4852,Biology
4854,Biology
4857,Computer Science
4858,Computer Science
4859,Computer Science
4862,Computer Science
4866,Computer Science
4867,Biology
4880,Biology
4891,Computer Science
4893,Computer Science
4896,Computer Science
4897,Computer Science
4899,Biology
4902,Computer Science
4904,Biology
4906,Biology
4908,Computer Science
4913,Biology
4914,Computer Science
4915,Computer Science
4921,Biology
4925,Computer Science
4933,Computer Science
4935,Computer Science
4937,Biology
4945,Computer Science
4948,Computer Science
4952,Computer Science
4954,Computer Science
4956,Biology
4959,Computer Science
4960,Computer Science
4962,Biology
4973,Computer Science
4982,Computer Science
4991,Biology
4993,Biology
4994,Computer Science
4998,Computer Science
5000,Biology
5003,Computer Science
5004,Computer Science
5008,Computer Science
5009,Computer Science
5019,Computer Science
5022,Biology
5024,Computer Science
5031,Computer Science
5032,Computer Science
5033,Biology
5038,Biology
5040,Biology
5042,Biology
5043,Computer Science
5045,Computer Science
5047,Computer Science
5052,Computer Science
5063,Biology
5064,Biology
5067,Computer Science
5078,Computer Science
5081,Computer Science
5085,Computer Science
5086,Biology
5098,Computer Science
5104,Biology
5108,Computer Science
5109,Biology
5123,Computer Science
5130,Computer Science
5131,Biology
5136,Biology
5138,Computer Science
5139,Computer Science
5144,Computer Science
5152,Biology
5154,Computer Science
5156,Computer Science
5163,Biology
5168,Computer Science
5170,Biology
5172,Computer Science
5175,Computer Science
5177,Computer Science
5193,Computer Science
5204,Computer Science
5209,Biology
5216,Biology
5217,Computer Science
5229,Computer Science
5230,Computer Science
5232,Biology
5238,Biology
5240,Computer Science
5249,Biology
